,Basin,Operator,State,County,report_date,drill_type,well,rig,well_type,field,formation,permit_depth,spud_date,API_UWI,lat_long,rated_hp,permit_approval_date,state_id,county_id
195,Permian - Midland,OXY USA INC.,TX,GLASSCOCK,11/22/2021,H,"POWELL, E.L. 0984CP",H&P 427,OIL & GAS,SPRABERRY,TREND AREA,"11,000 ft",2021-11-16,42-173-38522,31.9335651 / -101.6633391,1500,2021-07-20,42,173
196,Permian - Midland,"PIONEER NATURAL RES. USA, INC.",TX,GLASSCOCK,11/22/2021,H,DRIVER-LANE E36C 103H,Ensign T136,OIL & GAS,SPRABERRY,TREND AREA,"9,000 ft",2021-11-16,42-173-38373,31.7417809 / -101.7552913,1500,2020-10-12,42,173
197,Permian - Midland,"PIONEER NATURAL RES. USA, INC.",TX,GLASSCOCK,11/22/2021,H,TOM-MILLS 48K 11H,H&P 487,OIL & GAS,SPRABERRY,TREND AREA,"10,173 ft",2021-11-10,42-173-38539,32.0630208 / -101.7500605,1500,2021-09-03,42,173
198,Permian - Midland,"PIONEER NATURAL RES. USA, INC.",TX,GLASSCOCK,11/22/2021,H,BRUNSON RANCH 47A 1H,Pinnergy 4,OIL & GAS,SPRABERRY,TREND AREA,"10,225 ft",2021-11-18,42-173-38377,31.8428671 / -101.7120642, ,2020-10-20,42,173
199,Permian - Midland,"PIONEER NATURAL RES. USA, INC.",TX,GLASSCOCK,11/22/2021,H,DRIVER-LANE W36D 4H,Patterson 261,OIL & GAS,SPRABERRY,TREND AREA,"10,437 ft",2021-11-10,42-173-37733,31.7387848 / -101.7633221,1500,2020-10-12,42,173
200,Permian - Midland,XTO ENERGY INC.,TX,GLASSCOCK,11/22/2021,H,BLALOCK 1382 1312AH,H&P 439,OIL & GAS,SPRABERRY,TREND AREA,"10,000 ft",2021-11-18,42-173-38532,31.9505187 / -101.7213906,1500,2021-08-09,42,173
201,Eagleford,"EOG RESOURCES, INC.",TX,GONZALES,11/22/2021,H,AGGIE A 1H,Nabors 1209,OIL & GAS,EAGLEVILLE,EAGLE FORD-1,"13,200 ft",2021-11-18,42-177-34432,29.4555098 / -97.2304579, ,2021-09-17,42,177
202,Eagleford,"EOG RESOURCES, INC.",TX,GONZALES,11/22/2021,H,SHENANDOAH H 8H,Nabors 1207,OIL & GAS,EAGLEVILLE,EAGLE FORD-1,"12,600 ft",2021-11-12,42-177-34431,29.2461856 / -97.4355215, ,2021-09-13,42,177
203,Eagleford,"INPEX EAGLE FORD, LLC",TX,GONZALES,11/22/2021,H,CLARK UNIT 5H,Patterson 247,OIL & GAS,EAGLEVILLE,EAGLE FORD-1,"10,000 ft",2021-11-05,42-177-34320,29.6284769 / -97.1993674,1500,2020-04-07,42,177
204,Eagleford,"PENN VIRGINIA OIL & GAS, L.P.",TX,GONZALES,11/22/2021,H,TURQUOISE C 3H,H&P 505,OIL & GAS,EAGLEVILLE,EAGLE FORD-1,"14,500 ft",2021-11-16,42-177-34445,29.5292239 / -97.3200307,1500,2021-10-05,42,177
205,Eagleford,"PENN VIRGINIA OIL & GAS, L.P.",TX,GONZALES,11/22/2021,H,ROCK CREEK RANCH 25H,H&P 501,OIL & GAS,EAGLEVILLE,EAGLE FORD-1,"14,500 ft",2021-11-18,42-177-34415,29.4332493 / -97.3011341,1500,2021-08-13,42,177
206,Eagleford,"ROSEWOOD RESOURCES, INC.",TX,GONZALES,11/22/2021,H,WARD NORTH B 2LH,Nabors 1203,OIL,EAGLEVILLE,EAGLE FORD-1,"9,700 ft",2021-11-04,42-177-34417,29.2665107 / -97.5709747, ,2021-08-31,42,177
207,DJ Basin,EME WYOMING LLC,WY,GOSHEN,11/22/2021,H,MARSH AND ELLIS 25-3-10 3CH,AKITA 518,OIL,WC,CODELL SAND,"18,907 ft",2021-11-13,49-015-20444,41.6511525 / -104.6453417,1500,2021-09-16,49,15
208,DJ Basin,"PALOMINO PETROLEUM, INC.",KS,GOVE,11/22/2021,V,BLADE RUNNER 1,Murfin 112,OIL,BUTTERFIELD-OVERLAND NORTH,"JOHNSON, LANSING, MARMATON","4,600 ft",2021-11-14,15-063-22390,38.8392038 / -100.6973434,750,2021-10-21,15,63
209,DJ Basin,"SHAKESPEARE OIL CO., INC.",KS,GOVE,11/22/2021,V,CALE 1-27,Duke 5,OIL,UNNAMED,"CHEROKEE, LKC, MARMATON, MISS","4,700 ft",2021-11-08,15-063-22391,39.0733273 / -100.7498498,600,2021-10-25,15,63
210,Anadarko,CAMINO NATURAL RESOURCES LLC,OK,GRADY,11/22/2021,H,JOHN KEELING 0607 23-14-1MXHR,Cactus 160,OIL & GAS, ,"HUNTON, MISSISSIPPIAN, WOODFORD","24,945 ft",2021-10-13,35-051-24868,34.9776401 / -97.9008198,1500,2021-10-12,35,51
211,Anadarko,CAMINO NATURAL RESOURCES LLC,OK,GRADY,11/22/2021,H,MICKEY MANTLE 1008 13-12-1WXH,Cactus 166,OIL & GAS, ,"MISSISSIPPI LIME, WOODFORD","21,775 ft",2021-09-30,35-051-24864,35.33738 / -98.0067426,1500,2021-09-24,35,51
212,Anadarko,CITIZEN ENERGY III LLC,OK,GRADY,11/22/2021,H,TODD 5H-26-35,Unit 315,OIL & GAS, ,WOODFORD,"16,800 ft",2021-11-17,35-051-24823,35.3134596 / -97.7032049,1500,2021-04-22,35,51
213,Anadarko,CITIZEN ENERGY III LLC,OK,GRADY,11/22/2021,H,COTNER 2H-8,Unit 126,OIL & GAS, ,DEESE,"15,800 ft",2021-11-03,35-051-24867,35.1891627 / -97.9673248,1500,2021-10-11,35,51
214,Anadarko,CITIZEN ENERGY III LLC,OK,GRADY,11/22/2021,H,BRUSHY LAKE 1H-13-24,Atlas 6,OIL & GAS, ,MISSISSIPPIAN,"21,500 ft",2021-11-18,35-051-24869,35.1753847 / -97.7864689,1600,2021-10-12,35,51
215,Anadarko,CONTINENTAL RESOURCES INC,OK,GRADY,11/22/2021,H,SILVER STRATTON 3-6-31-30XHW,Patterson 573,OIL & GAS, ,"HUNTON, SYCAMORE, WOODFORD", ,2021-11-12,35-051-24871,34.8423112 / -97.7677706,1200,2021-10-12,35,51
216,Anadarko,GULFPORT MIDCON LLC,OK,GRADY,11/22/2021,H,NELDA 1-4X33H,H&P 485,OIL & GAS, ,"HUNTON, SYCAMORE, WOODFORD", ,2021-11-18,35-051-24875,34.8421916 / -97.8409737,1500,2021-10-14,35,51
217,Anadarko,GULFPORT MIDCON LLC,OK,GRADY,11/22/2021,H,SCR 3-31X6H,Patterson 283,OIL & GAS, ,"HUNTON, WOODFORD", ,2021-11-03,35-051-24876,34.7840661 / -97.7609105,1500,2021-10-22,35,51
218,Anadarko,MARATHON OIL COMPANY,OK,GRADY,11/22/2021,H,KEM RANCH 0406 3-24-25WXH,Nabors X41,OIL & GAS, ,"HUNTON, MISSISSIPPIAN, WOODFORD", ,2021-11-15,35-051-24833,34.8114215 / -97.7837666,1500,2021-05-19,35,51
219,Anadarko,MARATHON OIL COMPANY,OK,GRADY,11/22/2021,H,GRETZKY 0406 4-2-35WXH,Precision 101,OIL & GAS, ,WOODFORD, ,2021-11-11,35-051-24856,34.8393044 / -97.8011712,1500,2021-08-05,35,51
220,Anadarko,MARATHON OIL COMPANY,OK,GRADY,11/22/2021,H,LEMIEUX BIA 0506 3-26-23WXH,Cactus 170,OIL & GAS, ,"MISSISSIPPIAN, WOODFORD","22,536 ft",2021-11-12,35-051-24877,34.8659611 / -97.8084186,1800,2021-10-28,35,51
221,Offshore,ANADARKO PETROLEUM CORPORATION,GOM,GREEN CANYON,11/22/2021,,OCS-G 21801 SS2 BP 1,Ocean BlackHawk,UNKNOWN, , , ,2021-10-20,60-811-4039401,27.4391422 / -90.2721024,9000, ,60,811
222,Offshore,BHP BILLITON PETROLEUM (DEEPWATER) INC.,GOM,GREEN CANYON,11/22/2021,V,001  ,TO Deepwater Invictus,OIL & GAS, , ,"40,000 ft",2021-10-11,60-811-40754,27.8469116 / -90.1693736,9000,2021-10-07,60,811
223,Offshore,BOE EXPLORATION & PRODUCTION LLC,GOM,GREEN CANYON,11/22/2021,U,G36060 001,TO Deepwater Asgard,UNKNOWN, , , ,2021-09-24,60-811-40753,27.0315451 / -90.9900796,9000,2021-09-24,60,811
224,Offshore,MURPHY EXPLORATION & PRODUCTION COMPANY - USA,GOM,GREEN CANYON,11/22/2021,U,G32504 004,Pacific Sharav,UNKNOWN,GC432, , ,2021-08-19,60-811-40747,27.5367047 / -90.1651673, ,2021-08-19,60,811
225,Northeast,CNX GAS CO LLC,PA,GREENE,11/22/2021,H,SILVER FOX FARMS RHL87KHSU,Patterson 563,GAS,MARCELLUS SHALE,MARCELLUS SHALE, ,2021-10-26,37-059-28149,39.9111188 / -80.4796902,1500,2021-08-17,37,59
226,Northeast,EQT PRODUCTION COMPANY,PA,GREENE,11/22/2021,H,LUMBER 3H,Patterson 292,GAS,MARCELLUS SHALE,MARCELLUS SHALE,"16,379 ft",2021-11-18,37-059-28083,39.7431999 / -80.438824,1500,2021-02-04,37,59
227,Northeast,RICE DRILLING B LLC,PA,GREENE,11/22/2021,H,STATTLER ROAD 3,Patterson 294,GAS,MARCELLUS SHALE,MARCELLUS SHALE,"20,743 ft",2021-11-16,37-059-27545,39.8144194 / -80.173952,1500,2021-04-13,37,59
228,Anadarko,BROOKS RANGE CORPORATION,KS,HAMILTON,11/22/2021,V,BOLTZ 35B,Quest 211,GAS,HUGOTON-PANOMA,CHASE,"2,655 ft",2021-11-13,15-075-20911,38.0137804 / -101.7840429,400,2021-10-26,15,75
229,Northeast,ARSENAL RESOURCES LLC,WV,HARRISON,11/22/2021,H,J OSBORN HSOP 16 203  ,H&P 608,UNKNOWN, ,MARCELLUS SHALE, ,2021-11-11,47-033-05941,39.2658497 / -80.2179487,1500,2019-04-12,47,33
230,Northeast,ASCENT RESOURCES UTICA LLC,OH,HARRISON,11/22/2021,H,CRICKET E SHC HR 5H,Patterson 584,UNKNOWN, ,"UTICA SHALE, POINT PLEASANT FORMATION", ,2021-11-16,34-067-24503,40.221566 / -80.880826,1500,2021-10-15,34,67
231,Northeast,"ASCENT RESOURCES UTICA, LLC",OH,HARRISON,11/22/2021,,DUKE W SHC HR 1H,Patterson 581,UNKNOWN, , , ,2021-11-17,34-067-24504,40.216259 / -80.8875961,1500, ,34,67
232,Haynesville,"COMSTOCK OIL & GAS, LLC",TX,HARRISON,11/22/2021,H,MARSH KB 'H' 1H,Nabors X01,GAS,CARTHAGE,HAYNESVILLE SHALE,"12,500 ft",2021-11-16,42-203-35448,32.3407286 / -94.3208454,1500,2021-02-16,42,203
233,Northeast,EAP OHIO LLC,OH,HARRISON,11/22/2021,H,MASTERS HN MON 8H,Patterson 571,OIL & GAS, ,POINT PLEASANT,"20,339 ft",2021-11-09,34-067-21667,40.390463 / -81.1760214,1200,2020-07-23,34,67
234,Haynesville,"RFE OPERATING, LLC",TX,HARRISON,11/22/2021,H,RALPHIE EAST 1H,Basin 105,OIL & GAS,WOODLAWN,COTTON VALLEY,"9,685 ft",2021-10-31,42-203-35488,32.7316928 / -94.2507738,1500,2021-10-13,42,203
235,Haynesville,ROCKCLIFF ENERGY OPERATING LLC,TX,HARRISON,11/22/2021,H,SANDERS 'A' HV UNIT D 4H,Nabors X17,GAS,CARTHAGE,HAYNESVILLE SHALE,"13,000 ft",2021-11-18,42-203-35478,32.4586989 / -94.1052175,1500,2021-09-20,42,203
236,Haynesville,ROCKCLIFF ENERGY OPERATING LLC,TX,HARRISON,11/22/2021,H,C.M. ABNEY 'A' HV UNIT A 1H,H&P 475,GAS,CARTHAGE,HAYNESVILLE SHALE,"13,000 ft",2021-10-28,42-203-35475,32.4556706 / -94.0979081,1500,2021-09-21,42,203
237,Haynesville,ROCKCLIFF ENERGY OPERATING LLC,TX,HARRISON,11/22/2021,H,MOSELEY HV UNIT F 6H,Nabors X06,GAS,CARTHAGE,HAYNESVILLE SHALE,"13,000 ft",2021-11-07,42-203-35468,32.4027229 / -94.1136369,1500,2021-07-30,42,203
238,North Slope,CONOCOPHILLIPS ALASKA INC,AK,HARRISON BAY,11/22/2021,V,KUPARUK RIV UNIT 3S-24B,Nabors 7ES,OIL,KUPARUK RIVER,UNDEFINED OIL, ,2021-11-07,50-103-20456,70.3941573 / -150.1965809,1000,2021-10-06,50,103
239,North Slope,CONOCOPHILLIPS ALASKA INC,AK,HARRISON BAY,11/22/2021,V,COLVILLE RIV UNIT CD2-310,Doyon 26,INJECTION,COLVILLE RIVER,ALPINE OIL, ,2021-06-13,50-103-20826,70.3379645 / -151.0495011,3000,2020-08-10,50,103
240,North Slope,CONOCOPHILLIPS ALASKA INC.,AK,HARRISON BAY,11/22/2021,V,GMTU MT7-01,Doyon 25,OIL,GREATER MOOSES TOOTH,RENDEZVOUS OIL, ,2021-10-10,50-103-20832,70.1728865 / -151.6933103,1800,2021-08-26,50,103
241,Anadarko,"DDD EXPLORATION, INC.",TX,HARTLEY,11/22/2021,V,THOMPSON E 2,Quest 222,OIL,REHM,GRANITE WASH,"6,500 ft",2021-11-17,42-205-30418,35.8014132 / -102.6093152,750,2021-10-22,42,205
242,Barnett,"ECHO PRODUCTION, INC.",TX,HASKELL,11/22/2021,V,BRAZOS RIVER 1,Smalley 7,OIL & GAS,"HASKELL COUNTY REGULAR,OLD GLORY,OLD GLORY, E.","BEND CONGL., STRAWN","6,000 ft",2021-11-11,42-207-32991,33.2165323 / -99.9720906,475,2021-09-29,42,207
243,Barnett,WILCOX PETROLEUM OPERATING LLC.,TX,HASKELL,11/22/2021,V,FARMER 7,Rockin R 1,OIL & GAS,"HASKELL COUNTY REGULAR,SOJOURNER,WILDCAT",GAS,"6,000 ft",2021-11-13,42-207-32993,33.1452858 / -99.8135598,600,2021-10-04,42,207
244,Anadarko,"BLACKBEARD OPERATING, LLC",TX,HEMPHILL,11/22/2021,H,LITTLE-PYEATT 30-19 ME EX 2H,Nabors 893,GAS,HEMPHILL,GRANITE WASH.,"12,000 ft",2021-10-17,42-211-35658,35.7898075 / -100.4093384,1500,2021-09-15,42,211
245,Anadarko,UPLAND RESOURCES LLC,TX,HEMPHILL,11/22/2021,V,ELLIOTT 107,Power Rig 1,OIL & GAS,"FELDMAN,FELDMAN, NORTH,GLAZIER, S.,HIGGINS, W.","ATOKA, CLEVELAND, DOUGLAS, MISS., MORROW LOWER, MORROW UPPER, TONKAWA","12,000 ft",2021-11-19,42-211-35660,36.0428739 / -100.1169776,1200,2021-10-11,42,211
246,DJ Basin,BEREXCO LLC,NE,HITCHCOCK,11/22/2021,V,JOHN 5-28,Duke 4,OIL,GOLDEN,CHEROKEE,"4,300 ft",2021-11-08,26-087-22757,40.1134581 / -101.170628,465,2021-10-14,26,87
247,DJ Basin,CANYON OPERATING LLC,NE,HITCHCOCK,11/22/2021,V,INDIAN STATE 16-3,Murfin 7,OIL,BONA,MARMATON,"4,200 ft",2021-11-12,26-087-22758,40.0474902 / -101.0524306,400,2021-10-18,26,87
248,Permian - Midland,BAYSWATER OPERATING COMPANY LLC,TX,HOWARD,11/22/2021,H,FORTRESS OF SOLITUDE 16-9-4 H 1WA,Independence 214,OIL & GAS,SPRABERRY,TREND AREA,"7,400 ft",2021-11-13,42-227-41315,32.3488272 / -101.3637426, ,2021-10-07,42,227
249,Permian - Midland,BAYSWATER OPERATING COMPANY LLC,TX,HOWARD,11/22/2021,H,FORTRESS OF SOLITUDE 16-9-4 H 2LS,Independence 203,OIL & GAS,SPRABERRY,TREND AREA,"6,900 ft",2021-11-16,42-227-41323,32.349425 / -101.3609774,1500,2021-10-13,42,227
250,Permian - Midland,"BIRCH OPERATIONS, INC.",TX,HOWARD,11/22/2021,H,ROWDY THE COWBOY 42-30 A 1WA,H&P 248,OIL & GAS,SPRABERRY,TREND AREA,"8,200 ft",2021-11-16,42-227-41280,32.3554237 / -101.6224461,1500,2021-09-08,42,227
251,Permian - Midland,"CROWNQUEST OPERATING, LLC",TX,HOWARD,11/22/2021,V,GEM STONE 35 1,Robinson 4,OIL & GAS,"DEWEY LAKE,FRYSAK FARMS,PETTY 48,ROSE PETAL","ATOKA, DEVONIAN, LOWER MISS., TREND AREA, UPPER STRAWN","12,200 ft",2021-11-01,42-227-41345,32.112685 / -101.6854226,1000,2021-10-15,42,227
252,Permian - Midland,"CROWNQUEST OPERATING, LLC",TX,HOWARD,11/22/2021,H,BUFFALO E 6LL,NorAm 22,OIL & GAS,SPRABERRY,TREND AREA,"9,000 ft",2021-10-30,42-227-41196,32.1990071 / -101.6459422,1500,2021-06-25,42,227
253,Permian - Midland,"CROWNQUEST OPERATING, LLC",TX,HOWARD,11/22/2021,H,YAMAHA PACIFICA F 9DN,NorAm 34,OIL & GAS,SPRABERRY,TREND AREA,"9,000 ft",2021-11-11,42-227-41248,32.287644 / -101.6107919,1500,2021-08-11,42,227
254,Permian - Midland,"CROWNQUEST OPERATING, LLC",TX,HOWARD,11/22/2021,H,NEEDLE 1LL,NorAm 27,OIL & GAS,SPRABERRY,TREND AREA,"8,800 ft",2021-11-16,42-227-41206,32.2005522 / -101.6391006,1800,2021-06-30,42,227
255,Permian - Midland,ENDEAVOR ENERGY RESOURCES L.P.,TX,HOWARD,11/22/2021,H,COACHWHIP 17-20 261,Ensign T140,OIL & GAS,SPRABERRY,TREND AREA,"11,000 ft",2021-11-11,42-227-41266,32.1731337 / -101.6515431,1500,2021-09-01,42,227
256,Permian - Midland,"HIGHPEAK ENERGY HOLDINGS, LLC",TX,HOWARD,11/22/2021,H,O'DANIEL RANCH 28-37 B UNIT A 7H,Pioneer 79,OIL & GAS,SPRABERRY,TREND AREA,"6,500 ft",2021-11-11,42-227-41191,32.4530595 / -101.2982645,1500,2021-07-13,42,227
257,Permian - Midland,"HIGHPEAK ENERGY HOLDINGS, LLC",TX,HOWARD,11/22/2021,H,WALKER 32-48 B UNIT L 6H,Pioneer 87,OIL & GAS,SPRABERRY,TREND AREA,"6,200 ft",2021-11-12,42-227-41381,32.4521034 / -101.2318337, ,2021-11-05,42,227
258,Permian - Midland,"HIGHPEAK ENERGY HOLDINGS, LLC",TX,HOWARD,11/22/2021,H,MARTIN 31-42 A UNIT A 3H,Latshaw 45,OIL & GAS,SPRABERRY,TREND AREA,"6,400 ft",2021-11-16,42-227-41353,32.1955192 / -101.3597565,1500,2021-10-26,42,227
259,Permian - Midland,"HIGHPEAK ENERGY HOLDINGS, LLC",TX,HOWARD,11/22/2021,H,WHITE 19-26 A UNIT L 1H,Patterson 255,OIL & GAS,SPRABERRY,TREND AREA,"6,200 ft",2021-10-26,42-227-41269,32.4843699 / -101.3085191,1500,2021-08-31,42,227
260,Permian - Midland,"LAREDO PETROLEUM, INC.",TX,HOWARD,11/22/2021,H,CONNER 15-3 (ALLOC-H) 8NB,H&P 386,OIL & GAS,SPRABERRY,TREND AREA,"9,000 ft",2021-11-11,42-227-41230,32.3280604 / -101.4428665,1500,2021-07-15,42,227
261,Permian - Midland,"LAREDO PETROLEUM, INC.",TX,HOWARD,11/22/2021,H,CONNER 15-3 (ALLOC-F) 6NS,Nabors M7507,OIL & GAS,SPRABERRY,TREND AREA,"9,000 ft",2021-11-12,42-227-41229,32.3269379 / -101.4479041,1150,2021-07-20,42,227
262,Permian - Midland,"MURCHISON OIL AND GAS, LLC",TX,HOWARD,11/22/2021,H,CURLY BILL UNIT 31-42 4HA,Latshaw 11,OIL,SPRABERRY,TREND AREA,"7,333 ft",2021-11-12,42-227-41306,32.5133515 / -101.4435373,1000,2021-09-17,42,227
263,Permian - Midland,OVINTIV USA INC.,TX,HOWARD,11/22/2021,H,MATTERHORN 24X 6HF,H&P 553,OIL & GAS,SPRABERRY,TREND AREA,"8,900 ft",2021-10-14,42-227-41299,32.4311364 / -101.3856125, ,2021-09-03,42,227
264,Permian - Midland,OXY USA INC.,TX,HOWARD,11/22/2021,H,LONG SPRING 3060BP 9H,H&P 434,OIL & GAS,SPRABERRY,TREND AREA,"9,300 ft",2021-11-04,42-227-41214,32.2424698 / -101.5371133,1500,2021-07-19,42,227
265,Permian - Midland,SM ENERGY COMPANY,TX,HOWARD,11/22/2021,H,HALPERT C 0747WA,Ensign T57,OIL & GAS,SPRABERRY,TREND AREA,"10,500 ft",2021-11-19,42-227-41316,32.2942227 / -101.579992, ,2021-10-08,42,227
266,Permian - Midland,SM ENERGY COMPANY,TX,HOWARD,11/22/2021,H,VIZZINI 2747WA,Pioneer 74,OIL & GAS,SPRABERRY,TREND AREA,"10,000 ft",2021-11-06,42-227-41278,32.3789729 / -101.4061343,1500,2021-09-01,42,227
267,Permian - Midland,"SURGE OPERATING, LLC",TX,HOWARD,11/22/2021,H,WALKER-DRRC 30-56 EAST UNIT 7AH,Latshaw 18,OIL & GAS,SPRABERRY,TREND AREA,"7,500 ft",2021-11-16,42-227-41336,32.4323168 / -101.3684859,1700,2021-10-14,42,227
268,Permian - Delaware,"HUDSPETH OPERATING, LLC",TX,HUDSPETH,11/22/2021,V,UNIVERSITY MASTERSON B10 1,H&P 489,OIL & GAS,WILDCAT, ,"8,500 ft",2021-11-09,42-229-30281,31.9846277 / -105.7247936,1500,2021-09-10,42,229
269,Permian - Midland,"PIONEER NATURAL RES. USA, INC.",TX,IRION,11/22/2021,H,ROCKER B 171H,H&P 637,OIL & GAS,SPRABERRY,TREND AREA,"8,808 ft",2021-11-16,42-235-36477,31.3031412 / -101.2272133,1500,2021-07-02,42,235
270,Permian - Midland,"TRIPLE CROWN RESOURCES, LLC",TX,IRION,11/22/2021,H,ASSAULT S394H,AKITA 22,OIL,LIN,WOLFCAMP,"9,000 ft",2021-11-14,42-235-36483,31.3424724 / -101.0897727,1500,2021-09-17,42,235
271,Barnett,"B.O.L.D. OIL AND GAS, LLC",TX,JACK,11/22/2021,D,1191 UNIT 1,LLP Lindemann 3,OIL & GAS,"BAYEX,BEAR MOUNTAIN,BOBILL,FINAS","CONGL., MISS., MISSISSIPPI, STRAWN","4,999 ft",2021-11-15,42-237-40596,33.0265267 / -98.4166484,450,2021-11-12,42,237
272,Northeast,ASCENT RESOURCES UTICA LLC,OH,JEFFERSON,11/22/2021,H,BORUM NE SMF JF 5H,Patterson 259,OIL & GAS, ,POINT PLEASANT FORMATION, ,2021-11-12,34-081-20922,40.290076 / -80.856209,1000,2021-09-07,34,81
273,Northeast,EAP OHIO LLC,OH,JEFFERSON,11/22/2021,H,BSA JN SPR 6H,Patterson 580,OIL & GAS, ,POINT PLEASANT,"24,150 ft",2021-11-10,34-081-20901,40.448042 / -80.9025037,1500,2021-03-25,34,81
274,Northeast,GULFPORT APPALACHIA LLC,OH,JEFFERSON,11/22/2021,V,EXTREME 211733 2B,Falcon 39,UNKNOWN, ,"UTICA SHALE, POINT PLEASANT FORMATION", ,2021-11-19,34-081-20928,40.198899 / -80.724439,1000,2021-09-27,34,81
275,,"MKE PRODUCING, INC",,JEFFERSON,11/22/2021,,DENT 2,Les Wilson 22,UNKNOWN, , , ,2021-11-08, ,38.5325584 / -89.106781,600, ,0,0
276,Gulf Coast,"CHARRO OPERATING, L.L.C.",TX,JIM HOGG,11/22/2021,V,ATLAS-LOPEZ 1,Price 3,OIL & GAS,"COLORADO,ROYAEGER,WILDCAT,YAEGER, NORTH","LOMA NOVIA, LOMA NOVIA -B- SAND, MIRANDO, YEGUA","3,000 ft",2021-11-16,42-247-32487,26.8959879 / -98.922391,400,2021-10-07,42,247
277,Powder River,ANSCHUTZ EXPLORATION CORPORATION,WY,JOHNSON,11/22/2021,H,TORNADO FED 4778-5-9-14EX NH,Cyclone 36,OIL,WC,NIOBRARA,"20,177 ft",2021-11-20,49-019-41941,44.0810726 / -106.2539561,1500,2021-11-08,49,19
278,Mississippi,"ALPINE GAS OPERATOR, LLC",MS,JONES,11/22/2021,V,RAMBLING ROGUES 1,RAPAD 33,OIL,COLLINS N. E.,UPPER COTTON VALLEY OIL POOL,"18,900 ft",2021-11-10,23-067-20742,31.6410948 / -89.3980373,1500,2021-10-19,23,67
279,Michigan,WOLVERINE GAS AND OIL COMPANY OF MICHIGAN LLC,MI,KALAMAZOO,11/22/2021,D,"KEYSTONE UNLIMITED, LLC 19-1",B&H 4,OIL,TRENTON,GLENWOOD,"3,755 ft",2021-11-14,21-077-62033,42.1916756 / -85.399211,475,2021-10-12,21,77
280,Eagleford,BPX OPERATING COMPANY,TX,KARNES,11/22/2021,H,DZIUK A-SCHENDEL A 189 SA 3 3H,H&P 512,OIL & GAS,EAGLEVILLE,EAGLE FORD-2,"14,000 ft",2021-11-18,42-255-37265,28.9433853 / -97.7309612,1500,2021-08-04,42,255
281,Eagleford,BURLINGTON RESOURCES O & G CO LP,TX,KARNES,11/22/2021,H,RUCKMAN-SCHENDEL USW C 1,H&P 384,OIL & GAS,EAGLEVILLE,EAGLE FORD-2,"17,500 ft",2021-11-04,42-255-37330,29.0250538 / -97.7367205,1500,2021-10-18,42,255
282,Eagleford,"EOG RESOURCES, INC.",TX,KARNES,11/22/2021,H,HORSE THIEF UNIT 12H,H&P 503,OIL & GAS,EAGLEVILLE,EAGLE FORD-2,"11,500 ft",2021-11-16,42-255-37314,28.8464382 / -98.0539805,1500,2021-09-16,42,255
283,Eagleford,"EOG RESOURCES, INC.",TX,KARNES,11/22/2021,H,GRAMM A 1H,H&P 263,OIL & GAS,EAGLEVILLE,EAGLE FORD-2,"12,000 ft",2021-11-18,42-255-37218,29.1340632 / -97.6594018,1500,2021-07-15,42,255
284,Eagleford,"EOG RESOURCES, INC.",TX,KARNES,11/22/2021,H,ORYX J 9H,H&P 247,OIL & GAS,EAGLEVILLE,EAGLE FORD-2,"12,000 ft",2021-11-16,42-255-37309,28.8720882 / -98.173296,1500,2021-09-15,42,255
285,Eagleford,MAGNOLIA OIL & GAS OPERATING LLC,TX,KARNES,11/22/2021,H,KEYS UNIT 19H,Patterson 285,OIL & GAS,EAGLEVILLE,EAGLE FORD-2,"14,500 ft",2021-11-18,42-255-37256,29.0353225 / -97.8185775,1500,2021-07-23,42,255
286,Eagleford,MARATHON OIL EF LLC,TX,KARNES,11/22/2021,H,KEMPE-LAUBACH UNIT 504H,Nabors X39,OIL,EAGLEVILLE,EAGLE FORD-2,"24,000 ft",2021-11-10,42-255-37247,28.8738383 / -97.9454843,1500,2021-08-26,42,255
287,Eagleford,MARATHON OIL EF LLC,TX,KARNES,11/22/2021,H,FELIX UNIT 7H,H&P 514,OIL,EAGLEVILLE,EAGLE FORD-2, ,2021-11-18,42-255-37252,28.8481808 / -98.0417918,1500,2021-07-21,42,255
288,Eagleford,MURPHY EXPL. & PROD. CO. - USA,TX,KARNES,11/22/2021,H,BELLAH UNIT 6H,Ensign T137,OIL,EAGLEVILLE,EAGLE FORD-2,"13,000 ft",2021-11-10,42-255-37107,28.9311583 / -97.8758832,1500,2021-01-27,42,255
289,Eagleford,VALIDUS NRG AQUILAS ASSETCO LLC,TX,KARNES,11/22/2021,H,DARLENE UNIT 6H,H&P 300,OIL & GAS,EAGLEVILLE,EAGLE FORD-2,"14,000 ft",2021-11-18,42-255-37228,28.9530128 / -98.0353376,1500,2021-07-21,42,255
290,Offshore,"LLOG EXPLORATION OFFSHORE, L.L.C.",GOM,KEATHLEY CANYON,11/22/2021,D,001  ,West Neptune,OIL & GAS, , , ,2021-10-01,60-808-40067,26.1832628 / -92.114755,6900,2021-09-30,60,808
291,Gulf Coast,"SARITA ENERGY RESOURCES, LTD.",TX,KENEDY,11/22/2021,D,KMF 169 1,LAUSON 5,GAS,POTRERO TORO,FRIO G 89,"9,587 ft",2021-11-08,42-261-31622,26.9889167 / -97.5147782, ,2021-09-24,42,261
